编号,SBU,PRD号码,产品名称,中文描述,中文文件名（带文件名后缀）,中文版本号,只放EDG和EDR，英文部分都不放,,,,,,
56,EDG,30400595,Joncryl® HSL 9010,安全说明书,JONCRYLHSL9010_SDS_GEN_CN_ZH_4-1_CN16.PDF,CN 4.1,,,,,,,
57,EDG,30484688,Joncryl® HSL 9012,安全说明书,JONCRYLHSL9012_SDS_GEN_CN_ZH_4-0_CN16.PDF,CN 4.0,,,,,,,
58,EDG,30605341,Joncryl® LV 7602,安全说明书,JONCRYLLV7602_SDS_GEN_CN_ZH_2-0_CN16.PDF,CN 2.0,,,,,,,
59,EDG,30692852,Joncryl® LV 7604,安全说明书,JONCRYLLV7604_SDS_GEN_CN_ZH_1-0_CN16.PDF,CN 1.0,,,,,,,
60,EDG,30601040,Joncryl® PDX-7339,安全说明书,JONCRYLPDX7339_SDS_GEN_CN_ZH_3-0_CN16.PDF,CN 3.0,,,,,,,
61,EDG,30503811,Joncryl® 1282,安全说明书,JONCRYL1282_SDS_GEN_CN_ZH_1-0_CN16.PDF,CN 1.0,,,,,,,
62,EDG,30649557,Joncryl® 142 AP,安全说明书,JONCRYL142AP_SDS_GEN_CN_ZH_1-0_CN16.PDF,CN 1.0,,,,,,,
63,EDG,30713170,Joncryl® 659,安全说明书,JONCRYL659_SDS_GEN_CN_ZH_2-0_CN16.PDF,CN 2.0,,,,,,,
64,EDG,30282493,Joncryl® 661,安全说明书,JONCRYL661_SDS_GEN_CN_ZH_4-0_CN16.PDF,CN 4.0,,,,,,,
65,EDG,30557582,Joncryl® 662,安全说明书,JONCRYL662_SDS_GEN_CN_ZH_2-0_CN16.PDF,CN 2.0,,,,,,,
66,EDG,30546200,Joncryl® 668,安全说明书,JONCRYL668_SDS_GEN_CN_ZH_2-0_CN16.PDF,CN 2.0,,,,,,,
67,EDG,30685117,Joncryl® HSL 703,安全说明书,JONCRYLHSL703_SDS_GEN_CN_ZH_2-0_CN16.PDF,CN 2.0,,,,,,,
68,EDG,30532160,Versamid® PUR 1010,安全说明书,VERSAMIDPUR1010_SDS_GEN_CN_ZH_7-0_CN16.PDF,CN 7.0,,,,,,,
69,EDG,30532159,Versamid® PUR 1120,安全说明书,VERSAMIDPUR1120_SDS_GEN_CN_ZH_2-0_CN16.PDF,CN 2.0,,,,,,,
70,EDG,30537130,Versamid® PUR 2011,安全说明书,VERSAMIDPUR2011_SDS_GEN_CN_ZH_2-0_CN16.PDF,CN 2.0,,,,,,,
